UserPrincipalName,FirstName,LastName,DisplayName,JobTitle,Department,ManagerUPN,UsageLocation
amorgan@DetrovaMobility.onmicrosoft.com,Alex,Morgan,Alex Morgan,Chief Executive Officer,Executive,,US
ksanders@DetrovaMobility.onmicrosoft.com,Kimberly,Sanders,Kimberly Sanders,Engineering Director,Engineering,amorgan@DetrovaMobility.onmicrosoft.com,US
rmartinez@DetrovaMobility.onmicrosoft.com,Rachel,Martinez,Rachel Martinez,Firmware Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
jkim@DetrovaMobility.onmicrosoft.com,Jennifer,Kim,Jennifer Kim,QA Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
mstewart@DetrovaMobility.onmicrosoft.com,Megan,Stewart,Megan Stewart,DevOps Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
rcooper@DetrovaMobility.onmicrosoft.com,Raymond,Cooper,Raymond Cooper,Senior Software Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
lharris@DetrovaMobility.onmicrosoft.com,Larry,Harris,Larry Harris,QA Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
tclark@DetrovaMobility.onmicrosoft.com,Tyler,Clark,Tyler Clark,Software Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
rharris@DetrovaMobility.onmicrosoft.com,Robert,Harris,Robert Harris,Senior Software Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
jevans@DetrovaMobility.onmicrosoft.com,Jacob,Evans,Jacob Evans,DevOps Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
srivera@DetrovaMobility.onmicrosoft.com,Samantha,Rivera,Samantha Rivera,Senior Software Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
eruiz@DetrovaMobility.onmicrosoft.com,Edward,Ruiz,Edward Ruiz,Firmware Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
dwright@DetrovaMobility.onmicrosoft.com,Deborah,Wright,Deborah Wright,DevOps Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
mdiaz@DetrovaMobility.onmicrosoft.com,Melissa,Diaz,Melissa Diaz,Firmware Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
gscott@DetrovaMobility.onmicrosoft.com,Gregory,Scott,Gregory Scott,Software Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
cgonzalez@DetrovaMobility.onmicrosoft.com,Catherine,Gonzalez,Catherine Gonzalez,QA Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
rkim@DetrovaMobility.onmicrosoft.com,Robert,Kim,Robert Kim,Software Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
speterson@DetrovaMobility.onmicrosoft.com,Sara,Peterson,Sara Peterson,Senior Software Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
pcook@DetrovaMobility.onmicrosoft.com,Patricia,Cook,Patricia Cook,DevOps Engineer,Engineering,ksanders@DetrovaMobility.onmicrosoft.com,US
